,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
1,Stephen Curry\curryst01,GSW,$34682550,$37457154,$40231758,$43006362,$45780966,,Bird Rights,$201158790
2,LeBron James\jamesle01,CLE,$33285709,$35607968,,,,,Early Bird,$33285709
3,Paul Millsap\millspa01,DEN,$31269231,$29730769,$30500000,,,,Cap space,$61000000
4,Gordon Hayward\haywago01,BOS,$29727900,$31214295,$32700690,$34187085,,,Cap space,$93642885
5,Blake Griffin\griffbl01,LAC,$29512900,$31873932,$34234964,$36595996,$38957028,,Bird Rights,$132217792
6,Kyle Lowry\lowryky01,TOR,$28703704,$31000000,$33296296,,,,Bird Rights,$93000000
7,Mike Conley\conlemi01,MEM,$28530608,$30521115,$32511623,$34504132,,,Cap Space,$113989729
8,Russell Westbrook\westbru01,OKC,$28530608,$30670404,,,,,Bird Rights,$28530608
9,James Harden\hardeja01,HOU,$28299339,$30431854,$37800000,$40824000,$43848000,,Bird Rights,$181203193
10,DeMar DeRozan\derozde01,TOR,$27739975,$27739975,$27739975,$27739975,,,Cap Space,$83219925
11,Al Horford\horfoal01,BOS,$27734405,$28928710,$30123015,,,,Cap Space,$56663115
12,Carmelo Anthony\anthoca01,NYK,$26243760,$27928140,,,,,Bird Rights,$26243760
13,Damian Lillard\lillada01,POR,$26153057,$27977689,$29802321,$31626953,,,1st Round Pick,$115560020
14,Jrue Holiday\holidjr01,NOP,$25686667,$26131111,$26131111,$26131111,$27020000,,Bird Rights,$104080000
15,Chris Bosh\boshch01,MIA,$25289390,$26837720,,,,,,$52127110
16,Kevin Durant\duranke01,GSW,$25000000,$26250000,,,,,Non-Bird Rights,$25000000
17,Otto Porter\porteot01,WAS,$24773250,$26011913,$27250576,$28489239,,,Bird Rights,$78035739
18,Chris Paul\paulch01,HOU,$24599495,,,,,,Bird Rights,$24599495
19,C.J. McCollum\mccolcj01,POR,$23962573,$25759766,$27556959,$29354152,,,1st Round Pick,$106633450
20,Dwyane Wade\wadedw01,CHI,$23800000,,,,,,Cap Space,$23800000
21,Bradley Beal\bealbr01,WAS,$23775506,$25434263,$27093019,$28751775,,,Cap Space,$105054563
22,Anthony Davis\davisan02,NOP,$23775506,$25434263,$27093019,$28751775,,,1st Round Pick,$76302788
23,Andre Drummond\drumman01,DET,$23775506,$25434263,$27093019,$28751775,,,Cap Space,$76302788
24,Hassan Whiteside\whiteha01,MIA,$23775506,$25434263,$27093018,,,,Cap Space,$49209769
25,Dwight Howard\howardw01,CHO,$23500000,$23819725,,,,,Cap Space,$47319725
26,Chandler Parsons\parsoch01,MEM,$23112004,$24107258,$25102511,,,,Cap Space,$72321773
27,Harrison Barnes\barneha02,DAL,$23112004,$24107258,$25102512,,,,Cap Space,$47219262
28,J.J. Redick\redicjj01,PHI,$23000000,,,,,,Cap space,$23000000
29,Marc Gasol\gasolma01,MEM,$22642350,$24119025,$25595700,,,,Bird Rights,$46761375
30,Kevin Love\loveke01,CLE,$22642350,$24119025,$25595700,,,,Bird Rights,$46761375
31,Brook Lopez\lopezbr01,LAL,$22642350,,,,,,Bird Rights,$22642350
32,DeAndre Jordan\jordade01,LAC,$22642350,$24119025,,,,,Bird Rights,$22642350
33,Steven Adams\adamsst01,OKC,$22471910,$24157303,$25842697,$27528090,,,1st Round Pick,$100000000
34,Giannis Antetokounmpo\antetgi01,MIL,$22471910,$24157303,$25842697,$27528090,,,1st Round Pick,$100000000
35,Nicolas Batum\batumni01,CHO,$22434783,$24000000,$25565217,$27130434,,,Cap Space,$72000000
36,LaMarcus Aldridge\aldrila01,SAS,$21461010,$22347015,,,,,Cap Space,$21461010
37,Rudy Gobert\goberru01,UTA,$21224719,$22741573,$24258427,$25775281,,,1st Round Pick,$94000000
38,Victor Oladipo\oladivi01,IND,$21000000,$21000000,$21000000,$21000000,,,1st Round Pick,$84000000
39,Danilo Gallinari\gallida01,LAC,$20559599,$21587579,$22615559,,,,Sign and Trade,$64762737
40,Serge Ibaka\ibakase01,TOR,$20061729,$21666667,$23271604,,,,Cap space,$65000000
41,George Hill\hillge01,SAC,$20000000,$19000000,$18000000,,,,Cap space,$40000000
42,Ryan Anderson\anderry01,HOU,$19578455,$20421546,$21264635,,,,Cap Space,$61264636
43,Paul George\georgpa01,OKC,$19508958,$20703384,,,,,1st Round Pick,$19508958
44,Allen Crabbe\crabbal01,BRK,$19332500,$18500000,$18500000,,,,Cap Space,$37832500
45,Jimmy Butler\butleji01,MIN,$19301070,$20445779,$19841627,,,,Bird Rights,$39746849
46,Jeff Teague\teaguje01,MIN,$19000000,$19000000,$19000000,,,,Cap space,$38000000
47,Kawhi Leonard\leonaka01,SAS,$18868625,$20099189,$21329752,,,,Bird Rights,$38967814
48,Kyrie Irving\irvinky01,CLE,$18868625,$20099188,$21329750,,,,Bird Rights,$38967813
49,John Wall\walljo01,WAS,$18063850,$19169800,$37800000,$40824000,$43848000,,Bird Rights,$159705650
50,DeMarcus Cousins\couside01,NOP,$18063850,,,,,,1st Round Pick,$18063850
51,Enes Kanter\kanteen01,OKC,$17884176,$18622514,,,,,Bird Rights,$17884176
52,Greg Monroe\monrogr01,MIL,$17884176,,,,,,Cap Space,$17884176
53,Wesley Matthews\matthwe02,DAL,$17884176,$18622514,,,,,Cap Space,$17884176
54,Klay Thompson\thompkl01,GSW,$17826150,$18988725,,,,,1st Round Pick,$36814875
55,Joakim Noah\noahjo01,NYK,$17765000,$18530000,$19295000,,,,Cap Space,$55590000
56,Kentavious Caldwell-Pope\caldwke01,LAL,$17745894,,,,,,Cap space,$17745894
57,Luol Deng\denglu01,LAL,$17190000,$18000000,$18810000,,,,Cap Space,$54000000
58,Evan Turner\turneev01,POR,$17131148,$17868852,$18606557,,,,Cap Space,$53606557
59,Goran Dragic\dragigo01,MIA,$17000450,$18109175,$19217900,,,,Bird Rights,$35109625
60,Evan Fournier\fournev01,ORL,$17000000,$17000000,$17000000,$17000000,,,Cap Space,$51000000
61,Bismack Biyombo\biyombi01,ORL,$17000000,$17000000,$17000000,,,,Cap Space,$34000000
62,Kent Bazemore\bazemke01,ATL,$16910113,$18089887,$19269662,,,,Cap Space,$35000000
63,Ian Mahinmi\mahinia01,WAS,$16661641,$15944154,$15450051,,,,Cap Space,$48055846
